campaign_id,nom_campagne,plateforme,date_diffusion,budget_alloue,devise,impressions,clics
CMP0001,Promo Ramadan,TikTok,2026-06-24,4424.52,CFA,147697,5091
CMP0002,Fête de Tabaski,TikTok,2026-07-10,1117.07,CFA,65270,1876
CMP0003,Promo Magal touba,Instagram,2026-06-15,3839.19,CFA,183039,5465
CMP0004,Soldes Été,YouTube,2026-06-25,2555.94,CFA,6520,189
CMP0005,Promo de noel,LinkedIn,2026-05-25,2141.13,CFA,65780,917
CMP0006,Promo Gamou,YouTube,2026-06-17,1971.3,CFA,147089,2735
CMP0007,Nouvelle Collection,LinkedIn,2026-06-07,4983.83,CFA,146281,3233
CMP0008,Promo de noel,LinkedIn,2026-06-24,2377.98,CFA,82379,1520
CMP0009,Soldes Été,Facebook,2026-05-18,3662.16,CFA,84719,1455
CMP0010,Back to School,YouTube,2026-06-14,4764.21,CFA,182922,4253
CMP0011,Fête de Koritè,Facebook,2026-05-24,3745.3,CFA,74482,1282
CMP0012,Black Friday,twitter,2026-06-13,3064.6,CFA,28352,853
CMP0013,Promo Ramadan,LinkedIn,2026-05-25,1932.23,CFA,81237,1307
CMP0014,Promo Ramadan,YouTube,2026-06-14,807.6,CFA,13931,118
CMP0015,Promo Magal touba,TikTok,2026-05-29,3547.6,CFA,35103,508
